Date : 2021-08-22 16:13:33
Directory : f:\xunzheji
Total : 317 files,  59613 codes, 1984 comments, 3315 blanks, all 64912 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| f:\xunzheji\src\pages\HomeScreen\sort\AboutComponent.js                         | JavaScript  |        175 |         18 |         20 |        213 |
| f:\xunzheji\src\pages\HomeScreen\sort\app.js                                    | JavaScript  |         63 |          0 |         12 |         75 |
| f:\xunzheji\src\pages\Login\FindPass.js                                         | JavaScript  |        134 |          0 |         14 |        148 |
| f:\xunzheji\src\pages\Login\Login.js                                            | JavaScript  |        161 |          3 |         14 |        178 |
| f:\xunzheji\src\pages\Login\Register.js                                         | JavaScript  |        235 |          2 |          8 |        245 |
| f:\xunzheji\src\pages\MyScreen\Card.js                                          | JavaScript  |         16 |          0 |          3 |         19 |
| f:\xunzheji\src\pages\MyScreen\Concerns.js                                      | JavaScript  |        133 |          0 |         17 |        150 |
| f:\xunzheji\src\pages\MyScreen\ControlPanel.js                                  | JavaScript  |         42 |          3 |          5 |         50 |
| f:\xunzheji\src\pages\MyScreen\MatchGame.js                                     | JavaScript  |        227 |         20 |         23 |        270 |
| f:\xunzheji\src\pages\MyScreen\My.js                                            | JavaScript  |        482 |         59 |         51 |        592 |
| f:\xunzheji\src\pages\MyScreen\MyTop.js                                         | JavaScript  |         28 |          0 |          7 |         35 |
| f:\xunzheji\src\pages\MyScreen\Myself.js                                        | JavaScript  |         91 |          4 |          7 |        102 |
| f:\xunzheji\src\pages\MyScreen\Personal.js                                      | JavaScript  |        256 |          7 |         19 |        282 |
| f:\xunzheji\src\pages\MyScreen\SegmentTabBar1.js                                | JavaScript  |         87 |          1 |          7 |         95 |
| f:\xunzheji\src\pages\MyScreen\bianjiziliao.js                                  | JavaScript  |        388 |         12 |         21 |        421 |
| f:\xunzheji\src\pages\MyScreen\cities\cities.json                               | JSON        |      4,482 |          0 |         26 |      4,508 |
| f:\xunzheji\src\pages\MyScreen\fans.js                                          | JavaScript  |        135 |          0 |         19 |        154 |
| f:\xunzheji\src\pages\MyScreen\header.js                                        | JavaScript  |        305 |         26 |         16 |        347 |
